id,Super Admin,Store Admin,Employee,Client
get_any_employee_0010,X,,,
edit_any_employee_0020,X,,,
delete_any_employee_0030,X,,,
assign_employee_to_any_store_0041,X,,,
remove_employee_from_store_0051,X,,,
create_employee_0100,X,X,,
get_my_employee_0110,X,X,,
edit_my_employee_0120,X,X,,
delete_my_employee_0130,X,X,,
assign_store_to_my_employee_0141,X,X,,
remove_store_from_my_employee_0151,X,X,,
create_store_1000,X,,,
get_any_store_1010,X,,,X
edit_any_store_1020,X,,,
delete_any_store_1030,X,,,
get_my_store_1010,X,X,,
edit_my_store_1020,X,X,,
delete_my_store_1030,X,X,,
create_department_2000,X,,,
create_section_2001,X,,,
create_product_2002,X,,,
edit_department_2020,X,,,
edit_section_2021,X,,,
edit_product_2022,X,,,
delete_department_2020,X,,,
delete_section_2021,X,,,
delete_product_2022,X,,,
get_department_2200,X,X,X,X
get_section_2201,X,X,X,X
get_product_2202,X,X,X,X
increment_existences_3020,X,,,
decrement_existences_3021,X,,,
edit_existences_3022,X,,,
authorize_existences_change_3060,X,,,
authorize_existences_change_in_my_store_3160,X,X,,
increment_existences_in_my_store_3220,X,X,X,
decrement_existences_in_my_store_3221,X,X,X,
edit_existences_in_my_store_3222,X,X,X,