code,name
0101,Hard Candy
0102,Soft Candy
0103,Chewing Gum
0104,Gummies
0105,Chocolates
0106,Cigarretes
0107,Tobacco
0108,Cigarrete Supplies
0109,Smoke Odor Extermination
0201,Body Soap
0202,Hand Soap
0203,Body Cream
0204,Hair Supplies
0205,Dental Care
0206,Deodorant
0207,Shaving
0301,Notebooks
0302,Paper
0303,Painting
0304,Writing Goods
0305,Calculators
0306,Geometry Goods
0307,Tape
0401,Bath Paper
0402,Kitchen Napkins
0403,Disposables
0404,Wipes
0501,Baby Toys
0502,Toys to Build
0503,Dolls
0504,Board Games
0505,Collectionables
0506,Figures
0507,Toy Cars
0601,Pet Food
0602,Pet Beds and Houses
0603,Pet Toys
0604,Pet Clothes
0605,Pet Health
0606,Fish Tanks and Cages
0701,Balls
0702,Gloves
0703,Lifting
0704,Bicycles
0705,Exercise Machines
0706,General Goods
0801,Tires
0802,Tools
0803,Cleaning
0804,Motor Oil
0805,Accesories
0806,Parts
0901,Water Base
0902,Oil Base
0903,Painting Tools
0904,Paint Removal
0905,Aerosol Painting
1001,Chlorine
1002,Dish Soap
1003,Fresheners
1004,Clothes Soap
1005,Liquid Cleaner
1006,Softeners
1007,Hard Cleaners
1101,Plates
1102,Cutlery
1103,Pans and pots
1104,Vessels
1105,Cookware
1106,Electrical Appliances
1201,Tapestry and Carpets
1202,Bath Decoration
1203,Dining Decoration
1204,Bed Decoration
1205,Electrical Accesories
1301,Books
1302,Magazines
1303,Collectible
1304,Comics and Mangas
1401,Menswear
1402,Boyswear
1403,Shoes
1404,Infant Apparel
1405,Ladies' Socks
1406,Hosiery
1407,Sleepwear/Scrubs/Underwear
1408,Bras and Shapewear
1409,Girlswear
1410,Ladieswear
1411,Plus Size and Maternity
1412,Ladies' Outwear and Swimwear
1501,Rings
1502,Necklaces
1503,Earrings
1504,Bracelets
1505,Watches
1601,Prescription Pharmacy
1602,OTC Pharmacy
1701,Makeup
1702,Lashes
1703,Lipsticks
1704,Nails
1801,Seeds
1802,Garden Tools
1803,Garden Decoration
1804,Plants
1901,Graden Forniture
1902,Diners
1903,Seating
1904,Tables and Desks
1905,Beds
1906,Chests
2001,Media
2002,Gaming
2003,Cameras
2004,Batteries
2005,Phone Accesories
2006,Computer Accesories
2007,Computers and Laptops
2101,Bread
2102,Water
2103,Dry Supplies
2104,Beverages
2105,Cokkies and Cereal
2106,Canned Food
2107,Grains and Comestible Seeds
2108,Dips and Adjuncts
2201,Milk
2202,Flavored Milk
2203,Butter
2204,Cheese
2205,Yoghurt
2206,Ice Cream
2301,Beef
2302,Prepared Meat
2303,Seafood
2304,Pork
2401,Beer
2402,Wine
2403,Tequila
2404,Whisky
2405,Rum
2406,Vodka
2407,Prepared Drinks